region,regname,yearcode,age2,tenure4,N_ten4s,N_all2,tenurename
0,UK,1995,50,4,21815.858732177,689917,Care of/rent free
0,UK,1995,51,1,559584.423468996,700584,Owner occupier
0,UK,1995,51,2,87103.9239891066,700584,Social rent
0,UK,1995,51,3,31129.1637550974,700584,Private rent
0,UK,1995,51,4,22766.4887868002,700584,Care of/rent free
0,UK,1995,52,1,506370.274893543,643281,Owner occupier
0,UK,1995,52,2,85061.0274135759,643281,Social rent
0,UK,1995,52,3,27456.4888239721,643281,Private rent
0,UK,1995,52,4,24393.2088689087,643281,Care of/rent free
0,UK,1995,53,1,516246.966282174,651082,Owner occupier
0,UK,1995,53,2,89871.1570374598,651082,Social rent
0,UK,1995,53,3,21514.1471476714,651082,Private rent
0,UK,1995,53,4,23449.7295326948,651082,Care of/rent free
0,UK,1995,54,1,419447.505023297,547825,Owner occupier
0,UK,1995,54,2,86568.5008692226,547825,Social rent
0,UK,1995,54,3,21232.3905345889,547825,Private rent
0,UK,1995,54,4,20576.6035728915,547825,Care of/rent free
0,UK,1995,55,1,467866.466379563,603651,Owner occupier
0,UK,1995,55,2,95862.1574751462,603651,Social rent
0,UK,1995,55,3,22614.7273168713,603651,Private rent
0,UK,1995,55,4,17307.6488284193,603651,Care of/rent free
0,UK,1995,56,1,421774.341579526,558373,Owner occupier
0,UK,1995,56,2,98830.7766243158,558373,Social rent
0,UK,1995,56,3,20285.735567769,558373,Private rent
0,UK,1995,56,4,17482.1462283893,558373,Care of/rent free
0,UK,1995,57,1,457969.356172485,608022,Owner occupier
0,UK,1995,57,2,109603.450860727,608022,Social rent
0,UK,1995,57,3,22668.2930173884,608022,Private rent
0,UK,1995,57,4,17780.8999493998,608022,Care of/rent free
0,UK,1995,58,1,423129.036577592,561062,Owner occupier
0,UK,1995,58,2,96879.1163424097,561062,Social rent
0,UK,1995,58,3,22041.6564591803,561062,Private rent
0,UK,1995,58,4,19012.1906208179,561062,Care of/rent free
0,UK,1995,59,1,433596.191007479,575603,Owner occupier
0,UK,1995,59,2,102035.548297596,575603,Social rent
0,UK,1995,59,3,22116.7814505581,575603,Private rent
0,UK,1995,59,4,17854.4792443673,575603,Care of/rent free
0,UK,1995,60,1,424753.832714004,562637,Owner occupier
0,UK,1995,60,2,99757.9228884098,562637,Social rent
0,UK,1995,60,3,18277.7151892674,562637,Private rent
0,UK,1995,60,4,19847.5292083185,562637,Care of/rent free
0,UK,1995,61,1,396420.523932888,535050,Owner occupier
0,UK,1995,61,2,104424.966924839,535050,Social rent
0,UK,1995,61,3,21617.6263549734,535050,Private rent
0,UK,1995,61,4,12586.8827872992,535050,Care of/rent free
0,UK,1995,62,1,405256.339251853,553933,Owner occupier
0,UK,1995,62,2,112190.777137137,553933,Social rent
0,UK,1995,62,3,19604.8653130167,553933,Private rent
0,UK,1995,62,4,16881.0182979927,553933,Care of/rent free
0,UK,1995,63,1,362377.112874358,495485,Owner occupier
0,UK,1995,63,2,101547.919967631,495485,Social rent
0,UK,1995,63,3,15291.7547438117,495485,Private rent
0,UK,1995,63,4,16268.2124141992,495485,Care of/rent free
0,UK,1995,64,1,406615.646698015,555488,Owner occupier
0,UK,1995,64,2,113871.588086115,555488,Social rent
0,UK,1995,64,3,22866.6583718228,555488,Private rent
0,UK,1995,64,4,12134.1068440477,555488,Care of/rent free
0,UK,1995,65,1,382528.864409708,533668,Owner occupier
0,UK,1995,65,2,115255.950517228,533668,Social rent
0,UK,1995,65,3,18900.4181890728,533668,Private rent
0,UK,1995,65,4,16982.7668839908,533668,Care of/rent free
0,UK,1995,66,1,379888.737596356,526708,Owner occupier
0,UK,1995,66,2,113787.822264989,526708,Social rent
0,UK,1995,66,3,14933.1688601792,526708,Private rent
0,UK,1995,66,4,18098.2712784762,526708,Care of/rent free
0,UK,1995,67,1,359072.16775062,507023,Owner occupier
0,UK,1995,67,2,120661.076078478,507023,Social rent
0,UK,1995,67,3,15105.1992835924,507023,Private rent
0,UK,1995,67,4,12184.5568873094,507023,Care of/rent free
0,UK,1995,68,1,344735.476303562,506001,Owner occupier
0,UK,1995,68,2,132180.868352443,506001,Social rent
0,UK,1995,68,3,18676.3342674645,506001,Private rent
0,UK,1995,68,4,10408.3210765303,506001,Care of/rent free
0,UK,1995,69,1,348384.063687857,500424,Owner occupier
0,UK,1995,69,2,126189.513757759,500424,Social rent
0,UK,1995,69,3,12930.6652267841,500424,Private rent
0,UK,1995,69,4,12919.7573275996,500424,Care of/rent free
0,UK,1995,70,1,332261.500124365,494043,Owner occupier
0,UK,1995,70,2,132648.737290799,494043,Social rent
0,UK,1995,70,3,14418.5848435116,494043,Private rent
0,UK,1995,70,4,14714.177741325,494043,Care of/rent free
0,UK,1995,71,1,311397.327162247,469688,Owner occupier
0,UK,1995,71,2,126921.181642138,469688,Social rent
